"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
404605,"휴게음식점",4490000,20200113,"영업/정상",NA,"330.00","스타벅스천안백석점","커피숍",298.73,"충청남도 천안시 서북구 백석로 85-4, 1층 (백석동)","충청남도"
405187,"휴게음식점",3350000,20200130,"영업/정상",NA,"428.21","스타벅스 금정남산동DT점","커피숍",428.21,"부산광역시 금정구 중앙대로 1989, 남산프라자 1,2층 (남산동)","부산광역시"
405210,"휴게음식점",3830000,20200213,"영업/정상",NA,"339.00","스타벅스 호계지식산업센터점","커피숍",339,"경기도 안양시 동안구 엘에스로 122, 호계 데시앙플렉스 지상1층 118-123호 (호계동)","경기도"
405228,"휴게음식점",5070000,20200203,"영업/정상",NA,"104.95","스타벅스 안동 이마트","커피숍",104.95,"경상북도 안동시 옥동1길 2, 이마트 1층 (옥동)","경상북도"
405635,"휴게음식점",3100000,20200213,"영업/정상",NA,"204.49","스타벅스 월계역점","커피숍",204.49,"서울특별시 노원구 초안산로2라길 26, 월계센트럴아이파크 상가 1층 104,105,106호 (월계동)","서울특별시"
405784,"휴게음식점",4010000,20200117,"영업/정상",NA,"290.69","스타벅스배곧아브뉴프랑점","커피숍",290.69,"경기도 시흥시 서울대학로278번길 34, 시흥배곧 아브뉴프랑 센트럴 옐로우 1층 117,118,119,120,121호 (정왕동)","경기도"
405785,"휴게음식점",4010000,20200117,"영업/정상",NA,"377.35","스타벅스시흥대야DT","커피숍",377.35,"경기도 시흥시 뱀내장터로 27, 1,2층 (대야동)","경기도"
405814,"휴게음식점",4090000,20200317,"영업/정상",NA,"492.10","스타벅스 풍무사거리DT점","커피숍",492.1,"경기도 김포시 풍무로 137, 1~3층 전체호 (풍무동)","경기도"
405885,"휴게음식점",4200000,20200108,"영업/정상",NA,"468.68","스타벅스강릉강문해변점","커피숍",468.68,"강원도 강릉시 창해로350번길 3, 1~3층 (강문동)","강원도"
406440,"휴게음식점",3440000,20200114,"영업/정상",NA,"352.21","스타벅스대구앞산DT점","커피숍",352.21,"대구광역시 남구 현충로 32, 1-2층 (대명동)","대구광역시"
406592,"휴게음식점",3860000,20200224,"영업/정상",NA,"150.95","스타벅스 부천상동역점","커피숍",150.95,"경기도 부천시 길주로 105, 세이브존백화점 104.105호 (상동)","경기도"
406642,"휴게음식점",3000000,20200316,"영업/정상",NA,"111.80","스타벅스 강북삼성병원점","커피숍",111.8,"서울특별시 종로구 새문안로 29, 강북삼성병원 C동 미래의학관4층 (평동)","서울특별시"
407303,"휴게음식점",3150000,20200323,"영업/정상",NA,"224.36","스타벅스 마곡역점","커피숍",224.36,"서울특별시 강서구 공항대로 168, 1층 101~104호 (마곡동)","서울특별시"
407365,"휴게음식점",3780000,20200325,"영업/정상",NA,"206.93","스타벅스 신흥역점","커피숍",206.93,"경기도 성남시 수정구 산성대로 267, 1층 120,120-1,121,121-1,121-2호 (신흥동)","경기도"
407957,"휴게음식점",3990000,20200225,"영업/정상",NA,"218.40","스타벅스 다산지금점","커피숍",218.4,"경기도 남양주시 다산지금로 139, 영신프라자 101,102,103,104,105,106호 (다산동)","경기도"
408185,"휴게음식점",4050000,20200211,"영업/정상",NA,"148.00","스타벅스 용인세브란스병원점","커피숍",148,"경기도 용인시 기흥구 동백죽전대로 363, 용인세브란스병원 1층일부 (중동)","경기도"
408237,"휴게음식점",5540000,20200225,"영업/정상",NA,"351.65","스타벅스 경기광주쌍령DT","커피숍",351.65,"경기도 광주시 경충대로 1445, 1~2층 (쌍령동)","경기도"
408358,"휴게음식점",3670000,20200116,"영업/정상",NA,"260.19","스타벅스 대전반석역점","커피숍",260.19,"대전광역시 유성구 북유성대로 303, 뉴타운프라자 지상1층 111~116호 (반석동)","대전광역시"
408810,"휴게음식점",5710000,20200103,"영업/정상",NA,"496.62","스타벅스 청주비하DT점","커피숍",496.62,"충청북도 청주시 흥덕구 2순환로 1078, 1, 2층 (비하동)","충청북도"
408912,"휴게음식점",3530000,20191104,"영업/정상",NA,"345.85","스타벅스 부평삼거리역DT점","커피숍",345.85,"인천광역시 남동구 경인로 750, 1층, 2층 전부호 (간석동)","인천광역시"
409033,"휴게음식점",3400000,20191031,"영업/정상",NA,"394.00","스타벅스 기장역DT점","기타 휴게음식점",394,"부산광역시 기장군 기장읍 기장대로 527","부산광역시"
409134,"휴게음식점",3270000,20191105,"영업/정상",NA,"284.88","스타벅스 부산역라마다점","커피숍",284.88,"부산광역시 동구 중앙대로196번길 10, 부산역라마다앙코르호텔 102,203,204호 (초량동)","부산광역시"
