"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
457687,"휴게음식점",3660000,20140715,"영업/정상",NA,"153.60","투썸플레이스 관저느리울점","커피숍",153.6,"대전광역시 서구 구봉로147번길 68-12, 1층 102,103(일부)호 (관저동)","대전광역시"
457718,"휴게음식점",3410000,20150402,"영업/정상",NA,"158.10","투썸플레이스 삼덕점","커피숍",158.1,"대구광역시 중구 달구벌대로443길 50 (삼덕동3가, 지상1,2층)","대구광역시"
458058,"휴게음식점",3420000,20080905,"영업/정상",NA,"43.60","투썸플레이스(A TWOSOME PLACE)","철도역구내",43.6,"대구광역시 동구 동대구로 550 (신암동,외 18필지 동대구역 동대구역사)","대구광역시"
458118,"휴게음식점",3410000,20110321,"영업/정상",NA,"308.23","투썸플레이스동성로점","커피숍",308.23,"대구광역시 중구 동성로5길 44 (삼덕동1가)","대구광역시"
458428,"휴게음식점",3470000,20170612,"영업/정상",NA,"277.10","투썸플레이스대구진천아이팜메디타워점","커피숍",277.1,"대구광역시 달서구 월배로 58, 1,2층 102, 202호 (진천동)","대구광역시"
458484,"휴게음식점",3440000,20100219,"영업/정상",NA,"55.05","투썸플레이스영대병원점","커피숍",55.05,"대구광역시 남구 현충로 170, 1층 (대명동, 본관1층)","대구광역시"
458501,"휴게음식점",3470000,20170306,"영업/정상",NA,"253.55","투썸플레이스대구7호광장점","일반조리판매",253.55,"대구광역시 달서구 달구벌대로344길 68, 1,2층 111,112호 (두류동)","대구광역시"
458632,"휴게음식점",3480000,20180709,"영업/정상",NA,"331.81","투썸플레이스 대구서재점","커피숍",331.81,"대구광역시 달성군 다사읍 서재로7길 36, 1~2층","대구광역시"
458640,"휴게음식점",3480000,20180620,"영업/정상",NA,"612.00","투썸플레이스 파동가창점","커피숍",612,"대구광역시 달성군 가창면 가창로 1121, 1~2층","대구광역시"
458755,"휴게음식점",4670000,20190618,"영업/정상",NA,"283.40","투썸플레이스 군산시청점","커피숍",283.4,"전라북도 군산시 조촌4길 3, 1,2층 (조촌동)","전라북도"
458766,"휴게음식점",3010000,20190618,"영업/정상",NA,"233.33","투썸플레이스 을지트윈타워점","커피숍",233.33,"서울특별시 중구 을지로 170, 을지트윈타워 1층 103호,104호 (을지로4가)","서울특별시"
458799,"휴게음식점",3910000,20190621,"영업/정상",NA,"173.00","투썸플레이스 평택용죽점","커피숍",173,"경기도 평택시 용죽3로 18, 1층 (용이동)","경기도"
458863,"휴게음식점",5020000,20190523,"영업/정상",NA,"260.29","투썸플레이스 대도점","커피숍",260.29,"경상북도 포항시 남구 포스코대로 380, 1층 (대도동)","경상북도"
458975,"휴게음식점",4820000,20190617,"영업/정상",NA,"189.80","투썸플레이스순천풍덕점","커피숍",189.8,"전라남도 순천시 하풍동길 1-1, 1~2층 (풍덕동)","전라남도"
459373,"휴게음식점",6510000,20190510,"영업/정상",NA,"434.00","투썸플레이스제주노형오거리점","기타 휴게음식점",434,"제주특별자치도 제주시 1100로 3339, 지하1층 (노형동)","제주특별자치도"
459481,"휴게음식점",5690000,20190605,"영업/정상",NA,"444.27","투썸플레이스 세종고운힐데스점","커피숍",444.27,"세종특별자치시 만남로 21, 지하1~지상3층 (고운동)","세종특별자치시"
459906,"휴게음식점",3780000,20190402,"영업/정상",NA,"262.89","투썸플레이스 위례중앙점","커피숍",262.89,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 1층 152,153,154,155,156호 (창곡동)","경기도"
459940,"휴게음식점",3010000,20190405,"영업/정상",NA,"117.66","투썸플레이스(서대문역 바비엥점)","커피숍",117.66,"서울특별시 중구 통일로 114, 바비엥-2 1층 105-1~5호 (의주로1가)","서울특별시"
460234,"휴게음식점",3940000,20190530,"영업/정상",NA,"195.23","투썸플레이스 원흥역점","커피숍",195.23,"경기도 고양시 덕양구 권율대로 668, 티오피클래식 C동 1층 121,122,123,124,125,126호 (원흥동)","경기도"
460387,"휴게음식점",3990000,20190422,"영업/정상",NA,"211.97","투썸플레이스 다산신도시점","커피숍",211.97,"경기도 남양주시 다산중앙로 117, 안강E-타워 110호,111호,112호,113호 (다산동)","경기도"
